Cruise,Leg,Gear,Station,Date,Time In (Local),Time Out of Water,Lat In,Lon In,Flowmeter 1 Start,Flowmeter 2 Start,Flowmeter 1 End,Flowmeter 2 End,Tow-yo Count,Max Depth
SE2303,1,6' IKMT,1,230723,2227,2044,20 04.244,-157 15.54,0,0,33291,24001,1,23
SE2303,1,6' IKMT,2,230724,1911,1947,18 59.2859,-155 58.2525,0,0,107205,219850,2,70m first tow yo (32 m second towyo)
SE2303,1,6' IKMT,3,230724,2233,2301,18 56.714,-155 57.8283,0,0,60610,173132,3,55m (all three tow yos went ~50 m)
SE2303,1,6' IKMT,4,230725,2057,2355,18 44.0271,-158 16.55,0,0,102187,NA,3.25,47
SE2303,1,Bongo,5,230726,1855,1937,19 02.0713,-159 17.6702,0,0,101709,143750,steppd oblique,50
SE2303,2,6' IKMT,6,230806,2319,2351,22 33.38,-161 43.102,0,0,106589,90934,3,46
SE2303,2,6' IKMT,7,230810,2212,2252,27 50.1859,-168 58.4809,0,0,114302,125162,3,42
SE2303,2,6' IKMT,8,230810,2309,2334,27 51.75,-169 02.12,0,0,68643,75335,2,44
SE2303,2,6' IKMT,9,230811,2206,2253,28 32.9353,-171 50.4887,0,0,70691,NA,3,38
SE2303,2,6' IKMT,10,230811,2321,2350,28 34.1971,-171 57.7365,0,0,77164,84381,3,43.5
SE2303,2,6' IKMT,11,230812,2101,2134,29 13.6992,-174 49.59868,0,0,94294,73232,3,45
SE2303,2,6' IKMT,12,230812,2150,2220,29 13.6964,-174 51.0517,0,0,91128,60277,3,40
SE2303,2,6' IKMT,13,230812,2244,2315,29 15.4835,-174 56.4742,0,0,64535,79557,3,48
SE2303,2,6' IKMT,14,230814,2051,2122,29 54.111,-174 19.81,0,0,78107,55257,3,42
SE2303,2,6' IKMT,15,230814,2146,2219,29 57.144,-174 18.553,0,0,73076,87486,3,49
SE2303,2,6' IKMT,16,230814,2239,2314,30 00.352,-174 19.101,0,0,82603,64133,3,50
SE2303,2,6' IKMT,17,230815,2039,2110,30 00.007,-175 51.411,0,0,69954,79285,3,52
SE2303,2,6' IKMT,18,230815,2131,2202,31 02.635,-175 55.108,0,0,88635,70364,3,55
SE2303,2,6' IKMT,19,230815,2234,2307,31 04.103,-175 56.541,0,0,71583,87393,3,52
SE2303,2,6' IKMT,20,230816,2105,2126,31 41.742,-178 46.422,0,0,73097,83152,2.5,48
SE2303,2,6' IKMT,21,230816,2143,2215,31 40.769,-178 46.797,0,0,81908,90896,3,47
